#  Vmag     Imag      dx       dy
 24.3620  22.6980   0.0900  -0.0800
 25.8360  23.6570   0.0100  -0.0300
 26.3700  23.9770   0.1200   0.0300
 20.9100  19.6860   0.0600  -0.1400
 24.8270  22.9490   0.0400  -0.1000
 25.8880  25.0400  -0.5300  -0.1100
 24.3840  23.7990  -0.6200  -0.4100
 28.5850  25.2820  -0.1400   0.2400
 20.2910  19.4080   0.1200   0.1400
 28.0770  27.0000  -0.7100  -0.1000
 26.4360  24.1030  -0.2200  -0.0800
 24.2530  23.7260  -0.5700  -0.0500
 26.1580  23.9260   0.1200   0.1800
 27.8200  25.0590   0.0900   0.1100
 21.3450  20.2120  -0.2500   0.2400
 25.9570  23.7660   0.1600   0.0000
 27.3780  26.1460  -0.6900   0.0900
 20.6950  19.7120   0.0300  -0.1200
 24.6710  22.7510  -0.0800   0.1000
 22.5100  21.1250   0.2500   0.0700
 23.2950  21.6430  -0.0800   0.0900
 21.5070  20.3250  -0.2300   0.0000
 23.0610  21.5430   0.1400  -0.0900
 24.1080  22.4500   0.0800  -0.1700
 23.0530  22.5890  -0.5300  -0.2700
 24.7000  22.7950  -0.1800   0.2200
 24.1260  22.4740   0.3000  -0.0900
 28.3920  27.1920  -0.3300  -0.3200
 24.5460  22.6730  -0.1000   0.0700
 21.9250  20.6480   0.1000  -0.0100
 22.2320  20.8660   0.1000   0.0200
 25.8590  25.5830   0.0700   0.2000
 24.5350  23.9480  -0.4400  -0.1000
 21.8220  20.5960  -0.0900   0.0400
 22.2200  20.8540   0.1400  -0.0900
 24.4020  23.8780  -0.6200  -0.1900
 27.5360  26.2220  -0.8500  -0.2400
 29.1920  27.3600  -0.4200   0.0800
 22.3750  20.9590   0.0700   0.1200
 23.8710  22.1030   0.0600  -0.0400
 22.9610  21.4960   0.0400  -0.0900
 21.1740  20.0680   0.1200   0.0300
 24.0330  22.2570  -0.0500  -0.0200
 24.2880  22.5700  -0.0700   0.1500
 25.0160  23.1430  -0.1200  -0.0500
 25.4210  23.3530   0.0800  -0.0500
 25.3100  23.3580   0.0300  -0.1000
 21.7330  20.4790  -0.1500   0.1100
 24.3150  22.5400   0.1000  -0.1400
 25.2370  23.2540  -0.2100  -0.1600
 20.8210  19.8010  -0.0900   0.1200
 29.3500  28.0090  -0.6500  -0.1900
 25.4750  23.4920  -0.0600  -0.0800
 23.3770  21.8200   0.1200   0.0100
 21.3220  20.1840   0.0200   0.2300
 28.8610  27.4800  -0.4600  -0.2900
 20.6920  19.7440   0.0400  -0.2000
 29.1270  27.6900  -0.3500  -0.4500
 26.1620  23.8990  -0.2300  -0.0900
 21.9090  20.6350  -0.1500   0.0900
 22.2370  20.8540   0.0000   0.0400
 24.6630  22.8280   0.1600  -0.2500
 23.1630  21.6180  -0.0900  -0.2300
 21.4520  20.8170  -0.7000   0.0600
 21.6340  20.3940   0.0600   0.0600
 20.9620  19.9170  -0.0700   0.1300
 27.1770  26.7110   0.1100  -0.0200
 23.8800  23.3790  -0.5200  -0.3200
 23.6040  21.9140  -0.1000  -0.0300
 24.1600  22.4080   0.0000   0.0600
 28.5700  27.3170  -0.3000  -0.3600
 23.8400  22.0520  -0.2500   0.0200
 28.1330  25.1770   0.1200   0.0800
 23.4770  21.8090   0.1000   0.1000
 23.9580  22.1750  -0.0700   0.2200
 22.3760  20.9590   0.0800  -0.1500
 22.4850  21.0300   0.1400  -0.1300
 23.1080  21.5690  -0.0800  -0.0100
 23.6350  21.9590   0.0200  -0.0900
 21.9230  20.6190   0.0100  -0.0300
 25.5100  23.3850   0.1400  -0.1900
 25.2430  23.3140   0.1400  -0.2000
 24.4140  22.5620   0.1300   0.1500
 25.1350  24.3150  -0.3900  -0.0800
 23.9840  22.3130  -0.1300  -0.0400
 26.4730  25.5330  -0.4900  -0.2300
 23.9580  22.2380  -0.1300  -0.0700
 26.0330  25.8570  -0.7500  -0.6800
 22.6010  21.1730  -0.0100  -0.0100
 23.2350  21.7290   0.0200   0.1100
 25.4300  23.3540   0.0400   0.1600
 25.4460  24.7510  -0.5400  -0.5000
