X,CH1
Second,Volt,
-8.48e-04,8.60e-01
-8.44e-04,8.20e-01
-8.40e-04,8.60e-01
-8.36e-04,8.80e-01
-8.32e-04,8.80e-01
-8.28e-04,9.20e-01
-8.24e-04,9.20e-01
-8.20e-04,9.20e-01
-8.16e-04,9.40e-01
-8.12e-04,9.40e-01
-8.08e-04,9.60e-01
-8.04e-04,9.60e-01
-8.00e-04,9.60e-01
-7.96e-04,9.40e-01
-7.92e-04,9.80e-01
-7.88e-04,9.20e-01
-7.84e-04,9.80e-01
-7.80e-04,9.80e-01
-7.76e-04,1.00e+00
-7.72e-04,9.60e-01
-7.68e-04,1.00e+00
-7.64e-04,1.00e+00
-7.60e-04,9.80e-01
-7.56e-04,9.80e-01
-7.52e-04,1.00e+00
-7.48e-04,9.60e-01
-7.44e-04,1.00e+00
-7.40e-04,9.80e-01
-7.36e-04,9.80e-01
-7.32e-04,9.60e-01
-7.28e-04,1.02e+00
-7.24e-04,9.60e-01
-7.20e-04,9.40e-01
-7.16e-04,9.60e-01
-7.12e-04,9.60e-01
-7.08e-04,9.60e-01
-7.04e-04,9.60e-01
-7.00e-04,9.20e-01
-6.96e-04,9.00e-01
-6.92e-04,9.20e-01
-6.88e-04,8.80e-01
-6.84e-04,9.20e-01
-6.80e-04,8.80e-01
-6.76e-04,8.40e-01
-6.72e-04,8.80e-01
-6.68e-04,8.20e-01
-6.64e-04,8.00e-01
-6.60e-04,8.20e-01
-6.56e-04,8.00e-01
-6.52e-04,7.80e-01
-6.48e-04,7.60e-01
-6.44e-04,7.40e-01
-6.40e-04,7.40e-01
-6.36e-04,7.20e-01
-6.32e-04,7.20e-01
-6.28e-04,6.80e-01
-6.24e-04,6.80e-01
-6.20e-04,6.80e-01
-6.16e-04,6.40e-01
-6.12e-04,6.20e-01
-6.08e-04,6.00e-01
-6.04e-04,6.00e-01
-6.00e-04,5.40e-01
-5.96e-04,5.20e-01
-5.92e-04,5.20e-01
-5.88e-04,4.60e-01
-5.84e-04,4.60e-01
-5.80e-04,4.40e-01
-5.76e-04,4.00e-01
-5.72e-04,3.80e-01
-5.68e-04,3.60e-01
-5.64e-04,3.20e-01
-5.60e-04,3.40e-01
-5.56e-04,3.00e-01
-5.52e-04,3.00e-01
-5.48e-04,2.40e-01
-5.44e-04,2.40e-01
-5.40e-04,1.80e-01
-5.36e-04,1.60e-01
-5.32e-04,1.40e-01
-5.28e-04,1.40e-01
-5.24e-04,1.00e-01
-5.20e-04,7.99e-02
-5.16e-04,6.00e-02
-5.12e-04,0.00e+00
-5.08e-04,2.00e-02
-5.04e-04,-4.00e-02
-5.00e-04,-2.00e-02
-4.96e-04,-6.00e-02
-4.92e-04,-1.20e-01
-4.88e-04,-1.20e-01
